year_label,article_count,article_pct
1950,1,0.5
1982,1,0.5
2006,2,1.0
2007,2,1.0
2008,6,3.0
2010,3,1.5
2011,5,2.5
2012,5,2.5
2013,10,5.0
2014,7,3.5
2015,8,4.0
2016,8,4.0
2017,11,5.5
2018,11,5.5
2019,15,7.5
2020,10,5.0
2021,12,6.0
2022,11,5.5
2023,29,14.4
2024,39,19.4
2025,4,2.0
n.d.,1,0.5
