feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
primary_methodology,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,21,9.4
peer_review,peer_reviewed,service_area,programming_and_facilitation,21,9.4
coding_confidence,high,source_type,professional_publication,21,9.4
evidence_type,empirical_study,primary_methodology,mixed_methods,21,9.4
evidence_type,empirical_study,service_area,collections_and_access,21,9.4
intended_outcome,not_applicable,library_context,non_library_context,21,9.4
coding_confidence,high,library_context,multiple_library_types,21,9.4
service_area,programming_and_facilitation,source_type,peer_reviewed_journal_article,21,9.4
evidence_type,practitioner_reflection,service_area,collections_and_access,20,8.9
game_format,digital_game,intended_outcome,learning_and_literacy,20,8.9
coding_confidence,high,intended_outcome,belonging_and_community,20,8.9
coding_confidence,high,game_format,tabletop_game,20,8.9
evidence_type,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,20,8.9
peer_review,unknown,source_type,professional_community_working_document,20,8.9
evidence_type,theoretical_or_conceptual,peer_review,peer_reviewed,20,8.9
game_format,digital_game,intended_outcome,not_applicable,20,8.9
primary_methodology,community_curation,source_type,professional_community_working_document,20,8.9
coding_confidence,high,source_type,professional_community_working_document,20,8.9
evidence_type,professional_practice_artifact,peer_review,unknown,20,8.9
peer_review,unknown,primary_methodology,community_curation,20,8.9
evidence_type,theoretical_or_conceptual,service_area,learning_and_literacy,20,8.9
evidence_type,professional_practice_artifact,primary_methodology,community_curation,20,8.9
primary_methodology,theoretical_or_conceptual,service_area,learning_and_literacy,20,8.9
coding_confidence,high,evidence_type,professional_practice_artifact,20,8.9
coding_confidence,high,primary_methodology,community_curation,20,8.9
evidence_type,professional_practice_artifact,source_type,professional_community_working_document,20,8.9
peer_review,editorial_reviewed,service_area,learning_and_literacy,20,8.9
peer_review,editorial_reviewed,service_area,collections_and_access,20,8.9
evidence_type,implementation_case,source_type,peer_reviewed_journal_article,20,8.9
peer_review,peer_reviewed,primary_methodology,case_or_design_study,20,8.9
primary_methodology,case_or_design_study,source_type,peer_reviewed_journal_article,20,8.9
evidence_type,implementation_case,peer_review,peer_reviewed,20,8.9
game_format,multiple_game_formats,service_area,programming_and_facilitation,19,8.5
coding_confidence,high,service_area,professional_capacity,19,8.5
game_format,digital_game,library_context,non_library_context,19,8.5
evidence_type,practitioner_reflection,service_area,learning_and_literacy,19,8.5
primary_methodology,none,service_area,learning_and_literacy,19,8.5
audience,not_applicable,library_context,cultural_heritage_institution,19,8.5
primary_methodology,none,service_area,collections_and_access,18,8.0
audience,not_applicable,source_type,professional_community_working_document,18,8.0
peer_review,peer_reviewed,primary_methodology,mixed_methods,18,8.0
library_context,academic_library,peer_review,peer_reviewed,18,8.0
primary_methodology,mixed_methods,source_type,peer_reviewed_journal_article,18,8.0
audience,teens,coding_confidence,high,18,8.0
library_context,academic_library,source_type,peer_reviewed_journal_article,18,8.0
audience,not_applicable,evidence_type,professional_practice_artifact,18,8.0
game_format,digital_game,intended_outcome,discovery_and_advisory,18,8.0
intended_outcome,belonging_and_community,source_type,peer_reviewed_journal_article,18,8.0
intended_outcome,discovery_and_advisory,service_area,collections_and_access,18,8.0
audience,not_applicable,primary_methodology,community_curation,18,8.0
intended_outcome,belonging_and_community,peer_review,peer_reviewed,18,8.0
coding_confidence,high,primary_methodology,qualitative_study,17,7.6
audience,students,game_format,digital_game,17,7.6
evidence_type,empirical_study,primary_methodology,qualitative_study,17,7.6
intended_outcome,discovery_and_advisory,service_area,discovery_and_advisory,17,7.6
intended_outcome,not_applicable,service_area,discovery_and_advisory,17,7.6
intended_outcome,not_applicable,primary_methodology,community_curation,17,7.6
evidence_type,empirical_study,service_area,programming_and_facilitation,17,7.6
evidence_type,empirical_study,library_context,unspecified_library_context,17,7.6
game_format,digital_game,library_context,cultural_heritage_institution,17,7.6
evidence_type,professional_practice_artifact,intended_outcome,not_applicable,17,7.6
audience,not_applicable,intended_outcome,discovery_and_advisory,17,7.6
coding_confidence,high,game_format,tabletop_roleplaying_game,17,7.6
game_format,multiple_game_formats,service_area,collections_and_access,17,7.6
intended_outcome,not_applicable,source_type,professional_community_working_document,17,7.6
game_format,digital_game,peer_review,editorial_reviewed,16,7.1
coding_confidence,high,evidence_type,evidence_synthesis,16,7.1
evidence_type,empirical_study,library_context,public_library,16,7.1
evidence_type,empirical_study,intended_outcome,belonging_and_community,16,7.1
library_context,academic_library,service_area,learning_and_literacy,16,7.1
service_area,collections_and_access,service_area,discovery_and_advisory,16,7.1
library_context,public_library,peer_review,peer_reviewed,16,7.1
game_format,digital_game,service_area,discovery_and_advisory,16,7.1
service_area,collections_and_access,service_area,community_and_inclusion,16,7.1
evidence_type,empirical_study,library_context,non_library_context,16,7.1
library_context,public_library,service_area,programming_and_facilitation,16,7.1
library_context,public_library,source_type,peer_reviewed_journal_article,16,7.1
coding_confidence,high,intended_outcome,creativity_and_production,16,7.1
library_context,cultural_heritage_institution,service_area,collections_and_access,16,7.1
peer_review,unknown,service_area,discovery_and_advisory,16,7.1
service_area,collections_and_access,service_area,programming_and_facilitation,16,7.1
coding_confidence,high,evidence_type,instrument_or_framework_development,15,6.7
coding_confidence,high,service_area,cultural_heritage_and_research,15,6.7
game_format,tabletop_game,peer_review,peer_reviewed,15,6.7
service_area,programming_and_facilitation,source_type,professional_community_working_document,15,6.7
primary_methodology,community_curation,service_area,programming_and_facilitation,15,6.7
service_area,learning_and_literacy,service_area,programming_and_facilitation,15,6.7
game_format,tabletop_game,source_type,peer_reviewed_journal_article,15,6.7
primary_methodology,theoretical_or_conceptual,service_area,collections_and_access,15,6.7
intended_outcome,learning_and_literacy,primary_methodology,mixed_methods,15,6.7
evidence_type,professional_practice_artifact,service_area,programming_and_facilitation,15,6.7
evidence_type,practitioner_reflection,service_area,programming_and_facilitation,14,6.2
service_area,professional_capacity,source_type,peer_reviewed_journal_article,14,6.2
peer_review,peer_reviewed,service_area,professional_capacity,14,6.2
audience,students,library_context,non_library_context,14,6.2
coding_confidence,high,primary_methodology,survey,14,6.2
game_format,tabletop_roleplaying_game,intended_outcome,not_applicable,14,6.2
intended_outcome,learning_and_literacy,service_area,programming_and_facilitation,14,6.2
evidence_type,empirical_study,game_format,multiple_game_formats,14,6.2
audience,not_applicable,game_format,tabletop_roleplaying_game,14,6.2
game_format,tabletop_roleplaying_game,peer_review,unknown,14,6.2
evidence_type,empirical_study,primary_methodology,experimental_study,14,6.2
coding_confidence,high,intended_outcome,equitable_access,14,6.2
peer_review,peer_reviewed,primary_methodology,experimental_study,14,6.2
evidence_type,empirical_study,primary_methodology,survey,14,6.2
evidence_type,evidence_synthesis,primary_methodology,evidence_synthesis,14,6.2
service_area,learning_and_literacy,source_type,professional_publication,14,6.2
primary_methodology,experimental_study,source_type,peer_reviewed_journal_article,14,6.2
coding_confidence,high,intended_outcome,institutional_capacity,14,6.2
evidence_type,empirical_study,service_area,community_and_inclusion,14,6.2
